0,1,2,3,4
16.0,363.0,214.0,524.0,464.0
30.0,327.0,177.0,553.0,474.0
40.0,327.0,152.0,600.0,478.0
67.0,887.0,254.0,1036.0,295.0
68.0,886.0,253.0,1030.0,292.0
72.0,857.0,247.0,1025.0,300.0
74.0,854.0,253.0,1012.0,294.0
77.0,841.0,252.0,998.0,291.0
78.0,845.0,250.0,1000.0,290.0
79.0,825.0,244.0,1006.0,298.0
80.0,831.0,249.0,995.0,294.0
85.0,810.0,249.0,974.0,289.0
86.0,799.0,250.0,966.0,291.0
87.0,784.0,243.0,978.0,300.0
88.0,779.0,243.0,976.0,301.0
89.0,775.0,243.0,972.0,301.0
90.0,768.0,243.0,970.0,301.0
92.0,754.0,244.0,960.0,302.0
93.0,749.0,244.0,956.0,303.0
94.0,747.0,244.0,951.0,304.0
95.0,739.0,243.0,949.0,305.0
96.0,733.0,244.0,945.0,304.0
97.0,724.0,243.0,939.0,305.0
98.0,718.0,244.0,934.0,305.0
99.0,714.0,244.0,931.0,304.0
100.0,713.0,245.0,925.0,305.0
101.0,701.0,244.0,923.0,306.0
102.0,692.0,243.0,916.0,306.0
103.0,686.0,244.0,912.0,307.0
104.0,681.0,244.0,906.0,307.0
105.0,678.0,245.0,901.0,306.0
106.0,675.0,244.0,896.0,307.0
107.0,657.0,243.0,891.0,308.0
108.0,649.0,244.0,886.0,308.0
109.0,646.0,244.0,879.0,308.0
110.0,648.0,245.0,876.0,307.0
111.0,627.0,243.0,869.0,311.0
112.0,620.0,244.0,861.0,309.0
113.0,614.0,244.0,855.0,309.0
114.0,609.0,245.0,848.0,309.0
116.0,585.0,244.0,838.0,312.0
117.0,581.0,245.0,830.0,312.0
118.0,575.0,245.0,825.0,312.0
120.0,563.0,249.0,821.0,317.0
121.0,546.0,246.0,805.0,314.0
122.0,536.0,246.0,796.0,315.0
123.0,532.0,249.0,804.0,318.0
141.0,847.0,88.0,1103.0,189.0
142.0,841.0,87.0,1101.0,197.0
143.0,838.0,94.0,1097.0,204.0
144.0,835.0,98.0,1095.0,207.0
145.0,835.0,99.0,1098.0,213.0
146.0,832.0,92.0,1098.0,219.0
147.0,827.0,95.0,1092.0,223.0
148.0,821.0,98.0,1087.0,228.0
149.0,817.0,103.0,1085.0,235.0
150.0,811.0,111.0,1085.0,250.0
151.0,808.0,116.0,1085.0,251.0
152.0,806.0,120.0,1085.0,256.0
153.0,810.0,130.0,1075.0,249.0
154.0,802.0,122.0,1080.0,266.0
155.0,799.0,122.0,1079.0,270.0
156.0,799.0,145.0,1073.0,262.0
157.0,799.0,151.0,1070.0,265.0
158.0,790.0,146.0,1076.0,277.0
159.0,790.0,149.0,1073.0,279.0
160.0,791.0,153.0,1070.0,281.0
161.0,789.0,156.0,1068.0,283.0
162.0,787.0,158.0,1065.0,285.0
163.0,785.0,159.0,1063.0,287.0
164.0,783.0,160.0,1061.0,290.0
165.0,786.0,166.0,1054.0,286.0
166.0,785.0,167.0,1054.0,288.0
167.0,783.0,166.0,1052.0,297.0
168.0,784.0,166.0,1053.0,299.0
169.0,784.0,167.0,1053.0,301.0
170.0,784.0,168.0,1054.0,302.0
171.0,783.0,169.0,1054.0,303.0
172.0,782.0,169.0,1054.0,305.0
173.0,780.0,171.0,1055.0,306.0
174.0,779.0,172.0,1054.0,307.0
175.0,778.0,173.0,1054.0,308.0
176.0,778.0,174.0,1053.0,309.0
177.0,778.0,175.0,1052.0,309.0
178.0,777.0,176.0,1051.0,309.0
179.0,776.0,177.0,1050.0,310.0
180.0,776.0,178.0,1049.0,311.0
181.0,776.0,179.0,1048.0,311.0
182.0,162.0,393.0,1007.0,650.0
183.0,212.0,392.0,998.0,645.0
184.0,224.0,397.0,997.0,644.0
185.0,258.0,396.0,997.0,642.0
186.0,327.0,395.0,995.0,637.0
187.0,332.0,395.0,996.0,637.0
188.0,338.0,394.0,1000.0,639.0
189.0,358.0,394.0,997.0,637.0
190.0,401.0,396.0,994.0,635.0
191.0,421.0,398.0,994.0,634.0
192.0,445.0,398.0,991.0,635.0
193.0,451.0,398.0,995.0,643.0
194.0,453.0,400.0,994.0,644.0
195.0,472.0,400.0,992.0,643.0
196.0,483.0,401.0,992.0,643.0
197.0,489.0,401.0,991.0,643.0
198.0,498.0,402.0,988.0,644.0
199.0,501.0,400.0,990.0,644.0
